id,title,original_language,popularity,release_date,vote_average,vote_count
3917,Room,en,29.395,10/16/2015,8,8793
3918,Anaconda 3: Offspring,en,27.091,7/26/2008,4.7,287
3919,Okja,en,24.096,6/28/2017,7.4,4062
3920,Anaconda 3: Offspring,en,27.091,7/26/2008,4.7,287
3921,Okja,en,24.096,6/28/2017,7.4,4062
3922,Home Team,en,36.75,1/28/2022,6.7,684
3923,American Graffiti,en,20.638,8/11/1973,7,1310
3924,The Texas Chainsaw Massacre 2,en,23.637,8/22/1986,5.6,789
3925,Avengement,en,25.897,5/24/2019,6.8,445
3926,Student Services,fr,21.938,1/18/2010,5.1,108
3927,Ferris Bueller's Day Off,en,27.036,6/11/1986,7.6,4576
3928,Michael Jackson: Searching for Neverland,en,36.729,5/29/2017,6.5,104
3929,Over the Top,en,23.135,2/13/1987,6.4,1543
3930,Reign of Fire,en,22.885,7/9/2002,6.2,2085
3931,Young Mother,ko,20.779,7/31/2013,5.2,14
3932,Surrogates,en,23.135,9/24/2009,6.1,2973
3933,Zoolander 2,en,36.636,2/6/2016,4.9,2116
3934,Bait,en,25.884,9/5/2012,5.7,703
3935,The Mothman Prophecies,en,21.782,1/25/2002,6.2,1028
3936,The Wolf's Call,fr,22.691,2/20/2019,7.6,1859
3937,The Princess Switch: Switched Again,en,20.146,11/19/2020,6.9,825
3938,White Fang,en,21.93,1/18/1991,6.7,559
3939,Werewolves Within,en,25.649,6/25/2021,6,461
3940,A Thousand Words,en,19.428,3/7/2012,6.1,1246
3941,North by Northwest,en,22.675,7/8/1959,8,3829
3942,The Florida Project,en,20.081,10/6/2017,7.4,2551
3943,The Wolfman,en,26.375,2/10/2010,5.8,1874
3944,PAW Patrol: Jet to the Rescue,en,24.188,9/10/2020,7,158
3945,RocknRolla,en,20.625,9/4/2008,7,2763
3946,Paranormal Activity 4,en,27.126,10/17/2012,5.4,1774
3947,Barbie in A Christmas Carol,en,22.624,11/3/2008,7,511
3948,Burlesque,en,23.874,11/23/2010,7.2,2140
3949,Divine Intervention,es,22.104,8/4/2023,8.1,52
3950,Anchorman 2: The Legend Continues,en,30.875,12/18/2013,6.1,2404
3951,Flirtatious,tl,17.722,10/20/2023,6,2
3952,The Aeronauts,en,32.629,11/4/2019,6.8,1016
3953,Hypnotic,en,20.391,10/27/2021,6.1,562
3954,Night of the Living Dead,en,24.118,10/4/1968,7.6,2242
3955,Pokémon 4Ever,ja,19.568,7/6/2001,6.5,388
3956,Outbreak,en,20.867,3/10/1995,6.5,2093
3957,Vanilla Sky,en,24.766,12/10/2001,6.8,3902
3958,Allied,en,20.821,11/17/2016,6.8,4311
3959,Ocean Waves,ja,20.365,10/7/1994,6.4,785
3960,Pokémon 4Ever,ja,19.568,7/6/2001,6.5,388
3961,Outbreak,en,20.867,3/10/1995,6.5,2093
3962,Vanilla Sky,en,24.766,12/10/2001,6.8,3902
3963,Allied,en,20.821,11/17/2016,6.8,4311
3964,Ocean Waves,ja,20.365,10/7/1994,6.4,785
3965,Conquest of the Planet of the Apes,en,25.814,6/29/1972,6.1,838
3966,The Wait,fi,25.792,4/1/2022,6.1,20
3967,The Color Purple,en,26.863,12/18/1985,7.7,1598
3968,The Shallows,en,21.069,6/24/2016,6.4,4844
3969,Zombie Strippers!,en,20.112,4/18/2008,4.7,344
3970,Sorry If I Call You Love,es,26.413,6/20/2014,7.5,427
3971,Collateral Beauty,en,24.314,12/15/2016,7.2,5168
3972,Books of Blood,en,22.873,10/7/2020,6.4,374
3973,Jackass Forever,en,19.384,2/1/2022,6.9,698
3974,Pokémon: Zoroark - Master of Illusions,ja,27.66,7/10/2010,6.7,195
3975,War Horse,en,24.709,12/25/2011,7.3,3211
3976,Stowaway,en,21.924,8/31/2022,6.5,66
3977,Lady Vengeance,ko,27.106,7/29/2005,7.5,1517
3978,Viva Erotica,cn,22.404,11/28/1996,6.5,25
3979,His House,en,28.115,1/27/2020,6.4,1003
3980,Django,it,20.304,4/6/1966,7.2,833
3981,Gone Baby Gone,en,23.055,9/18/2007,7.3,3482
3982,The Man from U.N.C.L.E.,en,28.957,8/13/2015,7.1,5983
3983,The Outpost,en,21.613,6/24/2020,6.9,956
3984,American Assassin,en,27.106,9/14/2017,6.4,2815
3985,Mia and the White Lion,fr,18.907,8/2/2018,7.3,832
3986,UglyDolls,en,33.909,5/1/2019,6.7,408
3987,The Prince,en,23.243,8/22/2014,4.9,462
3988,The Knight of Shadows: Between Yin and Yang,zh,20.406,2/5/2019,5.6,113
3989,The Aftermath,en,16.357,3/1/2019,6.4,612
3990,The Return of Godzilla,ja,20.847,12/15/1984,7.2,190
3991,I Feel Pretty,en,24.105,4/19/2018,6.4,1961
3992,"Hello, Goodbye, and Everything in Between",en,36.366,7/6/2022,6.2,219
3993,I Care a Lot,en,19.812,2/19/2021,6.6,2468
3994,A Day to Die,en,23.623,3/4/2022,5.9,192
3995,Seven Pounds,en,24.447,12/18/2008,7.6,6463
3996,Bob Marley: One Love,en,36.343,1/10/2024,0,0
3997,Air Force One,en,21.045,7/25/1997,6.5,2729
3998,Paths of Glory,en,23.693,10/25/1957,8.3,2677
3999,Lethal Weapon 3,en,23.841,5/15/1992,6.7,2697
4000,Jarhead,en,24.84,11/4/2005,6.6,2677
4001,Mars Attacks!,en,22.838,12/13/1996,6.4,5099
4002,Jack Frost,en,27.689,11/15/1998,6,1069
4003,The Man Who Knew Infinity,en,21.742,4/8/2016,7.2,1318
4004,Herbie Fully Loaded,en,29.838,6/22/2005,5.7,2159
4005,Friday the 13th Part 2,en,25.912,5/1/1981,6.2,1521
4006,Pleasure or Pain,en,23.129,9/5/2013,4.8,68
4007,Hidalgo,en,33.286,2/4/2004,6.8,1099
4008,Replicas,en,24.193,10/25/2018,6,1243
4009,Paul Blart: Mall Cop,en,22.334,1/15/2009,5.4,2339
4010,The Villainess,ko,24.839,6/8/2017,6.9,616
4011,Odnoklassniki.ru: The Magic Laptop,ru,19.955,12/12/2013,4.5,29
4012,Old People,de,24.622,10/7/2022,5.6,259
4013,Overboard,en,22.33,12/16/1987,6.8,785
4014,Um Dia Cinco Estrelas,pt,25.092,6/15/2023,4.4,4
4015,Saint Seiya Heaven Chapter: Overture,ja,29.63,2/14/2004,7.6,236
4016,Breakfast at Tiffany's,en,26.68,10/6/1961,7.7,3960
4017,Cheaper by the Dozen,en,20.606,3/18/2022,6.4,228
4018,Close,fr,27.87,11/1/2022,7.8,558
4019,The Night House,en,29.045,7/15/2021,6.6,994
4020,Overboard,en,22.33,12/16/1987,6.8,785
4021,Um Dia Cinco Estrelas,pt,25.092,6/15/2023,4.4,4
4022,Saint Seiya Heaven Chapter: Overture,ja,29.63,2/14/2004,7.6,236
4023,Breakfast at Tiffany's,en,26.68,10/6/1961,7.7,3960
4024,Cheaper by the Dozen,en,20.606,3/18/2022,6.4,228
4025,Close,fr,27.87,11/1/2022,7.8,558
4026,The Night House,en,29.045,7/15/2021,6.6,994
4027,Detective vs. Sleuths,cn,22.699,7/8/2022,6.8,68
4028,Incendies,fr,26.028,9/4/2010,8.1,2409
4029,Nanny,en,28.92,11/23/2022,5.4,152
4030,The Longest Day,en,19.125,9/25/1962,7.6,866
4031,Summer Ghost,ja,28.397,11/12/2021,7.3,105
4032,Looop Lapeta,hi,22.4,2/4/2022,6.1,60
4033,Deep Blue Sea 3,en,20.838,8/25/2020,5.7,283
4034,Blow,en,27.271,4/4/2001,7.4,4078
4035,Fireworks,ja,33.577,8/18/2017,6.5,311
4036,The Unforgivable,en,24.593,11/24/2021,7.5,1695
4037,Maneater,en,21.956,8/26/2022,4.4,70
4038,Inkheart,en,27.57,12/11/2008,6.3,2012
4039,Mutual Relations,ko,24.863,12/1/2015,5.6,8
4040,Romeo Must Die,en,20.569,3/22/2000,6.2,1095
4041,"See No Evil, Hear No Evil",en,18.817,5/12/1989,6.7,894
4042,Secondhand Lions,en,17.318,9/19/2003,7.2,709
4043,"Crouching Tiger, Hidden Dragon: Sword of Destiny",en,18.122,2/18/2016,6.1,603
4044,Victor Frankenstein,en,18.272,11/10/2015,5.9,2017
4045,King Kong Lives,en,22.766,12/16/1986,5.1,195
4046,Barnyard,en,20.068,8/4/2006,5.8,1005
4047,Van Wilder: Freshman Year,en,19.315,6/2/2009,5.5,311
4048,I Can't Think Straight,en,17.065,6/1/2008,7.6,294
4049,The Son,en,26.558,11/10/2022,6.7,341
4050,Selena,en,22.312,3/21/1997,7.7,1165
4051,Chronicles of the Ghostly Tribe,zh,24.866,9/30/2015,6,157
4052,Sex Is Zero,ko,22.992,12/12/2002,6.1,96
4053,Hardcore Henry,en,27.515,9/12/2015,6.4,2251
4054,The Girl Next Door,en,24.811,7/19/2007,6.6,658
4055,Bright,en,26.315,12/22/2017,6.2,5375
4056,Fallen,en,17.559,1/16/1998,6.8,1301
4057,Sound of Metal,en,23.973,11/20/2020,7.7,2332
4058,Superman/Shazam!: The Return of Black Adam,en,21.058,11/16/2010,7.1,1475
4059,Halloween 4: The Return of Michael Myers,en,24.804,10/21/1988,6.2,1780
4060,Jules,en,21.228,8/10/2023,7.6,133
4061,Your Place or Mine,en,22.407,2/10/2023,6.3,651
4062,Deep Blue Sea 2,en,24.057,4/17/2018,5.1,496
4063,Halloween II,en,25.658,10/30/1981,6.5,1872
4064,Mercury Rising,en,23.049,4/3/1998,6.3,1423
4065,Bridge of Spies,en,24.803,10/15/2015,7.2,6513
4066,Unhappily Ever After,es,22.402,1/26/2023,7,166
4067,"To Wong Foo, Thanks for Everything! Julie Newmar",en,21.297,9/7/1995,7.3,593
4068,Tokyo Ghoul,ja,21.853,7/16/2017,7,332
4069,Braven,en,24.553,2/1/2018,6.2,961
4070,Avatar 3,en,22.624,12/19/2025,0,0
4071,Before Sunset,en,22.345,6/16/2004,7.8,3148
4072,No Sudden Move,en,25.562,6/24/2021,6.4,615
4073,Tales from Earthsea,ja,22.59,7/29/2006,6.5,1224
4074,Miss Hokusai,ja,28.993,5/9/2015,6.8,126
4075,Forgetting Sarah Marshall,en,22.29,4/17/2008,6.5,3187
4076,Confessions of a Shopaholic,en,21.789,2/5/2009,6.5,2507
4077,The Man from Earth,en,23.989,6/10/2007,7.6,2230
4078,Young & Beautiful,fr,23.191,8/21/2013,6.5,1153
4079,Lucky Trouble,ru,27.53,1/12/2011,6,83
4080,The Man from Earth,en,23.989,6/10/2007,7.6,2230
4081,Young & Beautiful,fr,23.191,8/21/2013,6.5,1153
4082,Lucky Trouble,ru,27.53,1/12/2011,6,83
4083,Sniper,en,21.586,1/29/1993,6.2,377
4084,The Road,en,24.888,11/25/2009,7,3551
4085,Rurouni Kenshin Part II: Kyoto Inferno,ja,20.29,8/1/2014,7.6,523
4086,102 Dalmatians,en,17.036,10/7/2000,5.5,1278
4087,Footloose,en,25.087,10/6/2011,6.6,1588
4088,The Condemned,en,19.286,4/27/2007,6.1,722
4089,The Lord of the Rings,en,27.084,11/15/1978,6.6,800
4090,The One and Only Ivan,en,23.048,8/21/2020,7.4,553
4091,Race,en,27.539,2/19/2016,7.3,1465
4092,The Best of Me,en,27.287,10/15/2014,7.5,2462
4093,Zebra Lounge,en,23.804,10/4/2001,4.4,34
4094,Moonstruck,en,23.233,12/16/1987,6.9,837
4095,Paranormal Activity: The Marked Ones,en,21.537,1/1/2014,5.4,1361
4096,1408,en,25.335,6/22/2007,6.7,4122
4097,The Grudge,en,25.244,12/31/2019,5.5,1121
4098,High School Musical,en,27.134,1/20/2006,6.6,4395
4099,The Flintstones in Viva Rock Vegas,en,21.533,4/28/2000,4.8,704
4100,The Flintstones in Viva Rock Vegas,en,21.533,4/28/2000,4.8,704
4101,Black Friday,en,18.304,11/19/2021,5,213
4102,Black Knight,en,22.031,11/21/2001,5.4,1043
4103,Teen Titans Go! To the Movies,en,29.038,7/27/2018,7.3,1049
4104,Miss Sloane,en,29.436,11/25/2016,7.5,1669
4105,Conspiracy Theory,en,17.78,8/8/1997,6.6,1344
4106,Marauders,en,22.784,7/1/2016,5.8,590
4107,The Banishing,en,24.797,4/29/2021,5.3,107
4108,The Monuments Men,en,20.032,1/24/2014,6,3383
4109,The Count of Monte Cristo,en,24.528,1/23/2002,7.7,1636
4110,American Psycho II: All American Girl,en,20.478,4/22/2002,4.5,376
4111,Eastern Promises,en,24.277,9/14/2007,7.4,3077
4112,The Living Daylights,en,23.475,6/29/1987,6.5,1623
4113,The Cloverfield Paradox,en,18.481,2/4/2018,5.6,3057
4114,Planes: Fire & Rescue,en,25.076,7/17/2014,6.1,793
4115,In My Mother's Skin,tl,21.385,1/20/2023,6.3,17
4116,Burning Bright,en,19.024,8/17/2010,6.3,250
4117,The Other Boleyn Girl,en,18.522,2/28/2008,6.7,1933
4118,Rooming With Danger,en,20.038,3/31/2023,5.8,5
4119,I Am Dragon,ru,18.274,12/3/2015,7.2,345
4120,Mr. Popper's Penguins,en,23.272,6/17/2011,5.9,2761
4121,The Last King of Scotland,en,15.273,1/12/2006,7.4,1952
4122,Europa Report,en,35.629,6/27/2013,6.3,1287
4123,Moonlight,en,23.173,10/21/2016,7.4,6730
4124,Sijjin 6,tr,21.377,8/9/2019,5.6,35
4125,A Christmas Karen,en,21.792,11/18/2022,5.5,6
4126,Police Academy 6: City Under Siege,en,17.515,3/9/1989,5.1,783
4127,The Goldfinger,cn,19.681,12/30/2023,5.4,5
4128,Professor Marston and the Wonder Women,en,23.271,10/13/2017,7.2,800
4129,Summer 1941,ru,31.354,4/21/2022,6.9,17
4130,The Hunting,en,21.539,1/21/2022,5.6,65
4131,Believer,ko,24.021,5/22/2018,7.3,129
4132,A Bad Moms Christmas,en,22.27,8/4/2017,6.3,1970
4133,Six Days Seven Nights,en,21.763,6/12/1998,6.1,1358
4134,The Other Woman,en,24.265,4/16/2014,6.4,3390
4135,RoboCop 2,en,24.261,6/22/1990,6,1722
4136,The Silent Forest,de,18.408,2/17/2022,6.1,19
4137,Crazy Mama,en,35.568,6/1/1975,5.7,13
4138,Return to Sender,en,20.514,5/31/2015,6.1,1152
4139,A Classic Horror Story,it,25.479,7/1/2021,5.9,881
4140,The Howl,it,21.848,5/1/1970,5,18
4141,The Outlaw Josey Wales,en,29.007,6/30/1976,7.5,1049
4142,Major Payne,en,20.757,3/24/1995,6.4,727
4143,The Ice Road,en,25.726,6/24/2021,6.9,1555
4144,Spotlight,en,26.661,11/6/2015,7.8,7867
4145,The Deer Hunter,en,31.455,12/8/1978,8,3499
4146,Breach,en,19.021,12/17/2020,4.2,600
4147,Rat Race,en,20.005,8/17/2001,6.3,1660
4148,End of Watch,en,21.007,9/20/2012,7.3,3007
4149,The Rescue: The Weight of the World,es,33.064,10/26/2023,6.7,25
4150,End of Days,en,27.202,11/24/1999,6.1,1718
4151,The Layover,en,16.058,9/1/2017,5.4,662
4152,Speed Racer,en,18.252,5/7/2008,6.3,1443
4153,They Live,en,19.899,11/23/1988,7.3,2777
4154,Uncle Drew,en,28.056,6/27/2018,6.7,519
4155,The Boss Baby,en,26.481,3/23/2017,6.4,6773
4156,I Spit On Your Grave,en,20.447,11/2/1978,5.9,543
4157,Magnum Force,en,20.996,12/13/1973,7.1,970
4158,Beautiful Teacher in Torture Hell,ja,25.685,12/14/1985,5.7,23
4159,The Good Son,en,19.745,9/24/1993,6.8,880
4160,Sister Act 2: Back in the Habit,en,22.745,12/9/1993,6.4,1690
4161,No One Gets Out Alive,en,22.767,9/29/2021,5.9,586
4162,Judgment at Nuremberg,en,18.495,12/18/1961,8,708
4163,Hellhounds,en,27.816,1/8/2024,0,0
4164,Stepmom 2019,ko,24.926,12/19/2019,6.2,4
4165,10.0 Earthquake,en,25.998,10/15/2014,4.9,115
4166,Whitney Houston: I Wanna Dance with Somebody,en,22.093,12/20/2022,7,351
4167,The Good Liar,en,18.204,11/8/2019,6.7,1039
4168,Career Opportunities,en,20.243,3/29/1991,6.9,569
4169,The Finest Hours,en,21.497,1/27/2016,6.6,1518
4170,The Edge of Seventeen,en,20.447,11/18/2016,7.2,3882
4171,What Lies Beneath,en,35.375,7/21/2000,6.4,1698
4172,Love the Coopers,en,18.245,11/12/2015,6,745
4173,Grave Encounters 2,en,23.992,10/12/2012,5.6,852
4174,Superman II,en,23.739,12/4/1980,6.7,2117
4175,Star Trek V: The Final Frontier,en,18.188,6/9/1989,5.7,1098
4176,God's Not Dead,en,20.741,3/21/2014,6,848
4177,Veronica,es,18.743,8/25/2017,6.2,1648
4178,All Dogs Go to Heaven,en,20.934,11/17/1989,6.7,954
4179,Donnie Brasco,en,18.835,2/27/1997,7.5,4138
4180,Godmothered,en,27.246,12/4/2020,6.8,566
4181,Hard Kill,en,15.545,10/23/2020,5.1,477
4182,Monty Python and the Holy Grail,en,21.429,5/25/1975,7.8,5402
4183,Candyman,en,28.999,8/25/2021,6,1428
4184,Hot Tub Time Machine,en,19.58,3/26/2010,6,2305
4185,Barbarella,en,23.178,10/10/1968,6,656
4186,Bring It On: Cheer Or Die,en,24.318,9/27/2022,5.8,100
4187,Barbie Presents: Thumbelina,en,22.028,2/24/2009,6.6,460
4188,Bedazzled,en,18.977,10/19/2000,6,1739
4189,Return of Punch and Judy,en,22.615,4/7/2023,7.3,34
4190,Empire of the Sun,en,20.425,12/9/1987,7.5,1781
4191,Shaft,en,24.983,6/14/2019,6.5,1600
4192,Wish Upon,en,18.979,7/7/2017,5.6,1247
4193,Two Of A Kind,fr,25.762,9/28/2022,5.8,120
4194,"Yes, God, Yes",en,16.534,7/24/2020,6.3,474
4195,Jason and the Argonauts,en,20.721,6/19/1963,7.1,550
4196,Molly's Game,en,23.676,12/7/2017,7.1,3482
4197,Barry Lyndon,en,20.419,12/18/1975,8,2620
4198,The Perfect Date,en,24.028,4/12/2019,6.5,3156
4199,Cheaper by the Dozen 2,en,22.469,12/21/2005,6.2,1887
4200,Saturday Night Fever,en,22.467,12/16/1977,6.7,1783
4201,Rosemary's Baby,en,27.867,6/12/1968,7.8,3630
4202,Detective Conan: The Phantom of Baker Street,ja,19.966,4/20/2002,7.7,177
4203,Trigun: Badlands Rumble,ja,21.218,7/11/2011,7.5,155
4204,Maquia: When the Promised Flower Blooms,ja,29.173,2/24/2018,8.2,572
4205,Nothing to Lose,pt,25.122,3/29/2018,5.5,95
4206,The Vatican Tapes,en,20.969,7/23/2015,5.3,713
4207,NiNoKuni,ja,35.125,8/23/2019,6.5,239
4208,Traffic,en,33.761,12/27/2000,7,1979
4209,About Fate,en,20.549,9/8/2022,7.4,292
4210,From Hell,en,21.71,2/8/2001,6.7,2626
4211,Leatherface: The Texas Chainsaw Massacre III,en,24.209,1/12/1990,5.3,496
4212,Set It Up,en,20.966,6/15/2018,7,2501
4213,Coyote Ugly,en,29.708,7/30/2000,6.2,1952
4214,Rio Bravo,en,23.458,3/18/1959,7.8,1044
4215,The Killer,cn,18.956,3/24/1989,7.6,701
4216,Fool's Gold,en,19.208,2/7/2008,5.7,1393
4217,The Basketball Diaries,en,25.956,4/21/1995,7.4,1843
4218,Hummingbird,en,21.959,5/7/2013,6.2,1590
4219,Hillbilly Elegy,en,21.967,11/9/2020,6.8,817
4220,Coyote Ugly,en,29.708,7/30/2000,6.2,1952
4221,Rio Bravo,en,23.458,3/18/1959,7.8,1044
4222,The Killer,cn,18.956,3/24/1989,7.6,701
4223,Lawrence of Arabia,en,27.657,12/11/1962,8,2757
4224,Fool's Gold,en,19.208,2/7/2008,5.7,1393
4225,The Basketball Diaries,en,25.956,4/21/1995,7.4,1843
4226,Hummingbird,en,21.959,5/7/2013,6.2,1590
4227,Hillbilly Elegy,en,21.967,11/9/2020,6.8,817
4228,Assassin 33 A.D.,en,19.213,1/24/2020,5.2,104
4229,Downsizing,en,26.157,12/22/2017,5.3,3569
4230,Miami Supercops,it,18.2,12/12/1985,6.5,388
4231,The Great Gatsby,en,16.699,3/27/1974,6.3,437
4232,Disquiet,en,26.847,2/10/2023,6.1,68
4233,Detective Conan: Dimensional Sniper,ja,30.752,4/19/2014,6.9,100
4234,The Danish Girl,en,22.353,11/27/2015,7.6,5553
4235,Don't Blame Karma!,es,22.783,8/3/2022,7,173
4236,Making The Witcher,en,34.959,8/26/2020,7.2,75
4237,"Honey, I Shrunk the Kids",en,28.696,6/23/1989,6.3,2847
4238,Born on the Fourth of July,en,19.545,12/20/1989,7,1572
4239,Exam,en,18.646,6/19/2009,6.7,1896
4240,Judas and the Black Messiah,en,16.911,2/12/2021,7.3,1388
4241,Minari,en,29.06,2/12/2021,7.4,1461
4242,Seal Team,en,19.516,10/28/2021,7,216
4243,Naked Gun 33⅓: The Final Insult,en,25.692,3/18/1994,6.5,1891
4244,Land of the Dead,en,22.443,6/18/2005,6.2,1454
4245,"Paris, Texas",en,17.942,7/16/1984,8.1,1615
4246,Boiling Point,en,22.462,7/5/2021,7.2,447
4247,Solace,en,21.197,9/3/2015,6.4,2103
4248,Snowden,en,34.919,9/15/2016,7.1,4135
4249,Cold Skin,en,26.698,10/20/2017,6.2,557
4250,All About Lily Chou-Chou,ja,34.91,10/6/2001,7.3,198
4251,Van Helsing: The London Assignment,en,25.94,5/11/2004,6.2,141
4252,Scooby-Doo! and the Witch's Ghost,en,20.689,10/5/1999,7.4,386
4253,Breakthrough,en,19.898,4/10/2019,7.6,1003
4254,Pokémon the Movie 2000,ja,29.939,7/17/1999,6.7,795
4255,The Legend of 1900,it,22.688,10/28/1998,8.3,2127
4256,Dealing with Christmas,fr,17.333,12/7/2023,5.6,50
4257,Forever My Girl,en,24.444,1/26/2018,7.6,1143
4258,Krampus: The Devil Returns,en,16.591,10/4/2016,5.2,70
4259,Young Mother: The Original,ko,19.981,6/23/2016,5.5,8
4260,The Aviator,en,28.381,12/17/2004,7.2,4994
4261,Belle's Magical World,en,17.93,2/16/1998,6.2,433
4262,The Village,en,22.279,7/30/2004,6.4,3876
4263,Last Days in the Desert,en,20.184,5/13/2016,5.7,153
4264,The Chorus,fr,22.429,3/17/2004,7.7,2270
4265,Lawless,en,28.381,8/29/2012,7,2881
4266,Gattaca,en,34.787,9/7/1997,7.6,5909
4267,Sin Nombre,es,26.428,3/20/2009,7.6,635
4268,Beautiful Creatures,en,22.429,2/13/2013,6,2742
4269,The Forgotten Battle,nl,21.794,6/5/2021,7.1,606
4270,Torque,en,24.176,1/16/2004,5.2,527
4271,Scooby-Doo on Zombie Island,en,33.926,10/17/2001,7.7,688
4272,Trigger Point,en,30.692,4/23/2021,6.3,149
4273,Into the Storm,en,23.178,8/6/2014,6,1916
4274,Spoiler Alert,en,23.52,12/2/2022,7.2,101
4275,Shaun the Sheep Movie,en,21.628,2/5/2015,7,1278
4276,God's Not Dead 2,en,24.427,4/1/2016,6.1,379
4277,Silverton Siege,en,19.201,4/27/2022,6.4,120
4278,The Pelican Brief,en,19.67,9/17/1993,6.6,1424
4279,Friday the 13th: The Final Chapter,en,22.669,4/13/1984,6.1,1205
4280,Into the Storm,en,23.178,8/6/2014,6,1916
4281,Spoiler Alert,en,23.52,12/2/2022,7.2,101
4282,Shaun the Sheep Movie,en,21.628,2/5/2015,7,1278
4283,God's Not Dead 2,en,24.427,4/1/2016,6.1,379
4284,Silverton Siege,en,19.201,4/27/2022,6.4,120
4285,The Pelican Brief,en,19.67,9/17/1993,6.6,1424
4286,Friday the 13th: The Final Chapter,en,22.669,4/13/1984,6.1,1205
4287,Godzilla vs. Megaguirus,ja,18.92,11/3/2000,6.6,161
4288,Operation Mincemeat,en,22.148,4/1/2022,6.5,586
4289,Thunder Force,en,21.437,4/9/2021,5.5,1159
4290,Some Other Woman,en,28.093,1/5/2024,0,0
4291,Scooby-Doo! and the Curse of the 13th Ghost,en,16.927,2/5/2019,8,232
4292,The Golden Child,en,17.667,12/12/1986,5.9,994
4293,Poison,en,29.46,9/30/2023,6.9,253
4294,Thick as Thieves,en,34.686,1/9/2009,6,740
4295,Falling Down,en,20.866,2/26/1993,7.4,3402
4296,The House with a Clock in Its Walls,en,21.423,9/15/2018,6.2,2042
4297,The Beguiled,en,22.671,6/23/2017,5.9,2039
4298,Pokémon Heroes,ja,24.965,7/13/2002,6.6,324
4299,Smoking Causes Coughing,fr,22.16,11/30/2022,6.2,250
4300,Lights Out,en,26.118,7/21/2016,6.3,3682
4301,Failure to Launch,en,15.164,3/10/2006,5.8,1542
4302,Signs,en,20.563,8/2/2002,6.7,5248
4303,Crooked House,en,19.067,9/6/2017,6.4,852
4304,The Operative,en,14.837,7/24/2019,5.8,193
4305,Asterix: The Secret of the Magic Potion,fr,16.717,5/12/2018,6.9,1152
4306,Jungle,en,22.066,6/27/2017,6.6,1818
4307,Psyche,en,17.84,1/7/2024,0,0
4308,Clean,en,25.683,1/28/2022,6.4,309
4309,Cool Runnings,en,18.407,10/1/1993,7,1902
4310,Crocodile Dundee II,en,23.654,5/19/1988,5.8,1021
4311,Babe,en,26.704,7/18/1995,6.2,2705
4312,Just Like a Christmas Movie,en,20.188,12/18/2023,5,3
4313,The Horse Whisperer,en,17.404,2/1/1998,6.9,1045
4314,Call Boy,ja,23.361,4/6/2018,6.6,40
4315,Mirror Mirror,en,22.406,3/15/2012,5.9,3062
4316,Blues Brothers 2000,en,16.653,2/5/1998,5.3,623
4317,The Green Knight,en,34.537,7/29/2021,6.6,1674
4318,The Green Inferno,en,20.854,9/8/2013,5.7,1321
4319,The Wild,en,18.652,4/6/2006,5.5,993
4320,Thinking XXX,en,33.111,10/27/2004,5.5,97
4321,Suicide Squad: Hell to Pay,en,25.608,3/23/2018,7.1,618
4322,Princess Protection Program,en,24.151,2/13/2010,6.6,1635
4323,Moulin Rouge!,en,21.049,5/24/2001,7.6,4294
4324,Look Both Ways,en,25.935,8/16/2022,6.9,583
4325,Blade Violent,en,26.457,5/6/1983,4.3,52
4326,Billy Elliot,en,19.847,9/28/2000,7.6,3622
4327,Fatherhood,en,24.165,6/18/2021,7.6,1300
4328,Scooby-Doo! Shaggy's Showdown,en,27.95,2/14/2017,7.9,165
4329,The 12th Man,no,16.15,12/25/2017,7.2,492
4330,3 Days to Kill,en,21.896,2/14/2014,6.1,2034
4331,Emmanuelle: Queen of Sados,el,27.862,2/1/1980,6.1,74
4332,Lupin the Third: Goemon's Blood Spray,ja,22.397,2/4/2017,7.9,141
4333,You Keep the Kids,es,21.716,12/17/2021,7.2,182
4334,K.G.F: Chapter 1,kn,22.599,12/20/2018,7.4,193
4335,Sailor Moon SuperS: The Movie: Black Dream Hole,ja,20.69,12/23/1995,8.1,128
4336,2 Hearts,en,30.903,10/16/2020,7.4,534
4337,The Return of the Living Dead,en,20.637,4/25/1985,7.1,1906
4338,La Haine,fr,20.586,5/31/1995,8.1,3717
4339,Bridget Jones: The Edge of Reason,en,22.087,11/10/2004,6.3,2625
4340,Strange Way of Life,es,23.921,5/26/2023,6.4,175
4341,Push,en,21.888,2/4/2009,6.2,2152
4342,Constantine: City of Demons - The Movie,en,20.644,10/4/2018,7.7,554
4343,"20,000 Species of Bees",es,18.799,4/21/2023,7.1,38
4344,Lost Highway,en,22.136,1/15/1997,7.6,2406
4345,The Stranger by the Shore,ja,23.13,9/11/2020,7.6,81
4346,The Circle,en,19.642,4/27/2017,5.5,4250
4347,Shanghai Knights,en,21.386,2/6/2003,6.1,2115
4348,The Bridges of Madison County,en,18.135,6/2/1995,7.7,1988
4349,Pokémon Ranger and the Temple of the Sea,ja,32.686,7/15/2006,6.5,189
4350,Spencer,en,22.306,11/4/2021,6.9,1518
4351,Father There Is Only One,es,20.694,8/2/2019,7.7,688
4352,Greta,en,23.891,9/6/2018,6.6,1228
4353,Emanuelle and the Porno Nights of the World N. 2,it,23.912,5/17/1978,4.9,16
4354,To Kill a Mockingbird,en,22.132,12/20/1962,8,2423
4355,The Key Game,es,25.891,4/13/2022,5.9,56
