id,title,original_language,popularity,release_date,vote_average,vote_count
136,"Ruby Gillman, Teenage Kraken",en,177.033,6/28/2023,7.4,798
137,Monster High 2,en,188.653,10/5/2023,7.3,49
138,Shazam! Fury of the Gods,en,158.721,3/15/2023,6.6,2672
139,Interstellar,en,191.896,11/5/2014,8.4,33308
140,Harry Potter and the Half-Blood Prince,en,170.813,7/15/2009,7.7,18459
141,Dashing Through the Snow,en,166.766,11/17/2023,6.4,82
142,Insidious: The Red Door,en,170.836,7/5/2023,6.7,1407
143,Charlie and the Chocolate Factory,en,145.256,7/13/2005,7,14332
144,Harry Potter and the Order of the Phoenix,en,158.619,7/8/2007,7.7,18521
145,Priscilla,en,260.416,10/27/2023,7,168
146,It's a Wonderful Knife,en,141.415,11/10/2023,5.3,58
147,Godzilla vs. Kong,en,164.346,3/24/2021,7.6,9294
148,The Hobbit: The Battle of the Five Armies,en,173.405,12/10/2014,7.3,13535
149,Jurassic World Dominion,en,159.995,6/1/2022,6.7,5478
150,The Mill,en,162.89,10/9/2023,6.5,32
151,The Hunger Games: Mockingjay - Part 1,en,172.076,11/19/2014,6.8,15093
152,Prey,en,156.855,8/2/2022,7.7,6047
153,Sisu,fi,160.795,1/27/2023,7.5,1629
154,The Grinch,en,157.621,11/8/2018,6.9,3653
155,Your Fault,es,181.097,,0,0
156,The Marsh King's Daughter,en,187.202,9/28/2023,6.6,101
157,Journey to Bethlehem,en,150.622,11/9/2023,7.9,14
158,Hypnotic,en,145.952,5/11/2023,6.4,856
159,Pet Sematary: Bloodlines,en,146.449,9/23/2023,6.1,254
160,Totally Killer,en,154.394,9/28/2023,7,580
161,The Naughty Nine,en,144.501,11/22/2023,6.2,48
162,Scream VI,en,152.074,3/8/2023,7.1,2169
163,Poor Things,en,183.558,11/21/2023,7.9,69
164,Cinderella,en,146.994,3/6/2015,6.8,6777
165,The Boogeyman: The Origin of the Myth,es,149.103,8/11/2023,6.1,45
166,Harry Potter and the Deathly Hallows: Part 1,en,152.769,11/17/2010,7.8,18111
167,Evil Dead Rise,en,155.642,4/12/2023,7,2580
168,Kandahar,en,142.894,5/25/2023,6.9,796
169,The Batman,en,154.563,3/1/2022,7.7,9017
170,Inside Out 2,en,196.131,6/13/2024,0,0
171,The Mount 2,en,147.335,5/12/2023,5.5,16
172,Hotel Transylvania: Transformania,en,162.737,2/25/2022,7,1725
173,Soulcatcher,pl,156.546,8/2/2023,6.5,246
174,Til Death Do Us Part,en,133.101,8/3/2023,6,50
175,Cobweb,en,156.777,7/19/2023,6.7,550
176,Wifelike,en,193.019,8/12/2022,7,215
177,Sonic the Hedgehog 2,en,160.237,3/30/2022,7.5,4472
178,Bad Lands,ja,238.44,9/29/2023,6.8,5
179,Jack Reacher,en,128.526,12/20/2012,6.6,6601
180,Bring Her to Me,en,235.539,10/27/2023,3.8,5
181,Sister-in-law's Taste,ko,176.077,6/10/2020,6.6,12
182,The Squad: Home Run,fr,132.239,8/25/2023,6.4,94
183,Turning Red,en,146.262,3/10/2022,7.4,4657
184,The Secret Kingdom,en,135.435,4/27/2023,6.6,53
185,Harry Potter and the Deathly Hallows: Part 2,en,140.961,7/12/2011,8.1,19543
186,Fall,en,140.591,8/11/2022,7.2,3423
187,Hidden Strike,en,128.917,7/6/2023,7,835
188,Spirit of Fear,en,128.506,7/31/2023,6.3,13
189,Dune,en,128.475,9/15/2021,7.8,9819
190,How to Have Sex,en,133.376,11/2/2023,6.5,96
191,Dungeons & Dragons: Honor Among Thieves,en,127.313,3/23/2023,7.4,2849
192,Thor: Love and Thunder,en,133.08,7/6/2022,6.5,6805
193,LEGO Marvel Avengers: Code Red,en,128.886,10/26/2023,6.5,57
194,Looking for Magical Doremi,ja,157.498,11/13/2020,6.4,11
195,The Out-Laws,en,116.535,7/7/2023,6.1,576
196,Bedspacer,tl,149.113,1/5/2024,4.5,4
197,Encanto,en,144.227,10/13/2021,7.6,8889
198,Minions: The Rise of Gru,en,133.066,6/29/2022,7.4,3211
199,Sobreviviendo mis XV,es,149.006,9/21/2023,7.5,62
200,Come Out Fighting,en,155.855,5/19/2023,5.2,28
201,M3GAN,en,120.214,12/28/2022,7.2,3503
202,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,131.001,12/7/2005,7.1,10043
203,El Conde,es,124.425,9/8/2023,6.3,138
204,Spy Kids: Armageddon,en,138.16,9/22/2023,6.4,105
205,365 Days: This Day,pl,143.677,4/27/2022,5.8,1273
206,The Monkey King,en,121.367,8/11/2023,6.7,229
207,Doors,en,212.647,3/23/2021,5,138
208,Geostorm,en,161.301,10/12/2017,6.1,4522
209,The Equalizer,en,134.039,9/24/2014,7.3,8449
210,Titanic,en,137.581,11/18/1997,7.9,24071
211,The Legend of the Spirits,es,123.544,7/14/2023,8.4,199
212,Godzilla: King of the Monsters,en,122.181,5/29/2019,6.7,5641
213,Shrapnel,en,130.983,7/28/2023,6.2,23
214,I Am Rage,en,117.84,9/14/2023,6.8,26
215,The Holdovers,en,191.803,10/27/2023,7.7,311
216,Avatar,en,136.284,12/15/2009,7.6,30281
217,River Wild,en,132.476,8/1/2023,6.6,110
218,The Lord of the Rings: The Fellowship of the Ring,en,135.143,12/18/2001,8.4,23780
219,The Godfather,en,207.733,3/14/1972,8.7,19265
220,War of the Worlds : The Attack,en,120.07,4/21/2023,5.1,145
221,Doctor Strange in the Multiverse of Madness,en,128.541,5/4/2022,7.3,8289
222,Redeeming Love,en,108.375,1/21/2022,7.9,349
223,65,en,109.5,3/2/2023,6.1,1959
224,The Maze Runner,en,130.479,9/10/2014,7.2,16143
225,Pirates of the Caribbean: The Curse of the Black Pearl,en,129.494,7/9/2003,7.8,19554
226,Shrek,en,126.85,5/18/2001,7.7,16116
227,Coco,en,131.042,10/27/2017,8.2,18372
228,After,en,125.182,4/11/2019,7.1,7929
229,Avengers: Endgame,en,135.348,4/24/2019,8.3,24288
230,The Shawshank Redemption,en,130.677,9/23/1994,8.7,25285
231,Willy Wonka & the Chocolate Factory,en,125.675,6/29/1971,7.5,3248
232,Me Before You,en,113.145,6/1/2016,7.9,11644
233,Inside Out,en,141.916,6/9/2015,7.9,19865
234,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two",en,116.388,10/17/2023,7.7,17
235,Fantastic Beasts: The Secrets of Dumbledore,en,114.154,4/6/2022,6.7,4016
236,Avengers: Age of Ultron,en,106.662,4/22/2015,7.3,22054
237,Mickey and Friends: Trick or Treats,en,129.828,10/1/2023,7,30
238,The Feast of Amrita,ja,121.579,5/26/2023,6,1
239,20th Century Girl,ko,129.976,10/6/2022,8.2,557
240,The Feast of Amrita,ja,121.579,5/26/2023,6,1
241,20th Century Girl,ko,129.976,10/6/2022,8.2,557
242,Plane,en,111.086,1/12/2023,7,1943
243,Moonfall,en,193.066,2/3/2022,6.4,2787
244,Digimon Adventure 02: The Beginning,ja,120.136,4/1/2023,6.8,6
245,Violent Night,en,103.525,11/30/2022,7.4,1826
246,The Avengers,en,131.749,4/25/2012,7.7,29540
247,"Scooby-Doo! and Krypto, Too!",en,116.764,9/26/2023,7.5,52
248,Sentinelle,fr,100.449,8/27/2023,5.3,220
249,Cocaine Bear,en,107.23,2/22/2023,6.1,1692
250,Fear the Night,en,120.769,7/21/2023,6.3,162
251,The Serpent,en,190.778,1/28/2021,5.1,26
252,Percy Jackson & the Olympians: The Lightning Thief,en,121.746,2/1/2010,6.2,7099
253,Babylon 5: The Road Home,en,109.643,8/15/2023,6.8,58
254,After Ever Happy,en,123.605,8/24/2022,6.9,1087
255,Luck,en,132.574,8/5/2022,7.8,1538
256,A Haunting in Venice,en,111.258,9/13/2023,6.7,1647
257,Kung Fu Panda,en,120.231,6/4/2008,7.3,10763
258,Hacksaw Ridge,en,116.152,10/7/2016,8.2,12941
259,The Lion King,en,123.525,7/12/2019,7.1,9496
260,Shrek 2,en,121.537,5/19/2004,7.3,11562
261,Kung Fu Panda 4,en,133.355,3/6/2024,0,0
262,Kung Fu Panda 2,en,117.397,5/25/2011,7,6554
263,The Next 365 Days,pl,125.223,8/19/2022,6.5,907
264,Zom 100: Bucket List of the Dead,ja,103.843,8/3/2023,6.8,457
265,Fifty Shades of Grey,en,126.335,2/11/2015,5.9,11248
266,The Mother,en,103.756,5/4/2023,6.7,1091
